b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),fgs
140,140,3.84,420,330.1,8.52,940.8,
140,140,3.84,420,330.1,8.97,921.6,
140,140,3.84,420,330.1,29.3,1499.4,
140,140,3.84,420,330.1,29.3,1470,
120,120,5.86,360,321.1,16.1,1176,
120,120,5.86,360,321.1,16.1,1117.2,
120,120,5.86,360,321.1,13.8,1195.6,
120,120,5.86,360,321.1,28.2,1460.2,
120,120,5.86,360,321.1,28.2,1372,
140,140,5.86,420,321.1,8.7,1342.6,
140,140,5.86,420,321.1,9.78,1292.6,
140,140,5.86,420,321.1,29.3,2009,
140,140,5.86,420,321.1,29.3,1906.1,
200,200,5.86,600,321.1,9.41,2058,
200,200,5.86,600,321.1,9.41,1960,
100,100,2,400,284.6,32.4,588,
100,100,2,400,284.6,32.4,656.6,
100,100,2,400,284.6,32.4,745,
100,100,2,400,284.6,32.4,705.6,
100,100,2,400,284.6,32.4,666.4,
100,100,2,400,284.6,32.4,696,
100,100,2,400,284.6,32.4,725,
100,100,2,400,284.6,32.4,745,
100,100,3,400,288.2,32.4,852,
100,100,3,400,288.2,32.4,892,
100,100,3,400,288.2,32.4,882,
100,100,3,400,288.2,32.4,931,
100,100,3,400,288.2,32.4,882,
100,100,3,400,288.2,32.4,891,
100,100,3,400,288.2,32.4,833,
100,100,3,400,288.2,32.4,872,
100,100,5,400,403.4,32.4,1195,
100,100,5,400,403.4,32.4,1068,
100,100,5,400,403.4,32.4,1294,
100,100,5,400,403.4,32.4,1274,
100,100,5,400,403.4,32.4,1313,
100,100,5,400,403.4,32.4,1294,
100,100,5,400,403.4,32.4,1244.6,
100,100,5,400,403.4,32.4,1323,
100,100,5,400,403.4,32.4,1313,
100,100,5,400,403.4,32.4,1274,
100,100,5,400,403.4,32.4,1244.6,
100,100,4,400,239.8,32.4,1019,
100,100,4,400,239.8,32.4,980,
100,100,4,400,239.8,32.4,882,
100,100,4,400,239.8,32.4,901.6,
100,100,4,400,239.8,32.4,980,
100,100,4,400,239.8,32.4,1000,
100,100,4,400,239.8,32.4,970,
100,100,4,400,239.8,32.4,921.2,
100,100,4,400,239.8,32.4,960.4,
100,100,2.29,300,194.2,32,497.4,
100,100,2.29,300,194.2,32,498,
100,100,2.2,300,339.4,21.4,511,
100,100,2.2,300,339.4,21.4,510,
100,100,2.99,300,288.4,20.6,529,
100,100,2.99,300,288.4,20.6,528,
100,100,4.25,300,284.5,19.8,667,
100,100,4.25,300,284.5,19.8,666,
250,250,8,500,379,33,4870,
250,250,8,500,379,91,8300,
148,148,4.38,444,262,25.4,1153,
148,148,4.38,444,262,40.5,1414,
148,148,4.38,444,262,40.5,1402,
148,148,4.38,444,262,77,2108,
215,215,4.38,645,262,25.4,1777,
215,215,4.38,645,262,41.1,2424,
215,215,4.38,645,262,41.1,2393,
215,215,4.38,645,262,80.3,3837,
323,323,4.38,969,262,25.4,3367,
323,323,4.38,969,262,41.1,5950,
323,323,4.38,969,262,41.1,4830,
323,323,4.38,969,262,80.3,7481,
144,144,6.36,432,618,25.4,2572,
144,144,6.36,432,618,40.5,2808,
144,144,6.36,432,618,40.5,2765,
144,144,6.36,432,618,77,3399,
211,211,6.36,633,618,25.4,3920,
211,211,6.36,633,618,40.5,4428,
211,211,6.36,633,618,40.5,4484,
211,211,6.36,633,618,77,5758,
319,319,6.36,957,618,25.4,6320,
319,319,6.36,957,618,41.1,7780,
318,318,6.36,954,618,41.1,7473,
319,319,6.36,957,618,85.1,10357,
120,120,6.36,360,618,25.4,2819,
120,120,6.47,360,835,40.5,2957,
120,120,6.47,360,835,40.5,2961,
120,120,6.47,360,835,77,3318,
175,175,6.47,525,835,25.4,4210,
175,175,6.47,525,835,40.5,4493,
175,175,6.47,525,835,40.5,4542,
175,175,6.47,525,835,77,5366,
265,265,6.47,795,835,25.4,6546,
265,265,6.47,795,835,41.1,7117,
265,265,6.47,795,835,41.1,7172,
265,265,6.47,795,835,80.3,8990,
210,210,5.48,630,294,39.1,3184,
211,211,5.48,633,294,91.1,4775,
210,210,4.5,630,277,39.1,2714,
211,211,4.5,633,277,91.1,4372,
211,211,8.83,633,536,39.1,5900,
211,211,8.83,633,536,91.1,7010,
204,204,5.95,612,540,39.1,4027,
204,204,5.95,612,540,91.1,5305,
180,180,9.45,540,825,39.1,6805,
180,180,9.45,540,825,91.1,7405,
180,180,6.6,540,824,31.1,5030,
180,180,6.6,540,824,91.1,5875,
200,200,6.16,600,781,119,6645,
200,200,3.17,600,781,119,4910,
200,200,6.39,600,310,119,4965,
200,200,3.09,600,310,119,3899,
305,305,8.9,1220,560,110,14116,
305,305,6.1,1220,660,110,12307,
305,305,8.6,1220,259,110,11390,
305,305,5.8,1220,471,110,11568,
152.4,152.4,4.43,300,389,46.2,1906,
152.4,152.4,8.95,300,432,45.4,3307,
152,153.4,6.17,300,377,43.6,3317,
152.2,153,9.04,300,394,47.2,4208,
100.2,100.2,2.18,300,300,25.7,411,
200.3,200.3,4.35,601,323,29.6,1613,
300.5,300.5,6.1,902,395,26.5,2766,
100,100,2.18,300,300,53.7,697,
200.1,200.1,4.35,601,323,57.9,2563,
300.6,300.6,6.1,902,395,58.9,5481,
101.1,101.1,2.18,300,300,61,783,
200.2,200.2,4.35,601,323,63.7,2825,
100.2,100.2,2.18,300,300,25.7,609,
200.3,200.3,4.35,601,323,29.6,2230,
300.5,300.5,6.1,902,395,26.5,5102,
100.1,100.1,2.18,300,300,53.7,851,
200.1,200.1,4.35,601,323,57.9,3201,
300.7,300.7,6.1,902,395,52.2,6494,
100.1,100.1,2.18,300,300,61,911,
200.3,200.3,4.35,601,323,63.7,3417,
100.7,100.7,9.6,301,400,24.64,1550,
101,101,9.6,300,400,74.88,2000,
99.9,99.9,4.9,301,289,24.64,800,
99.8,99.8,4.9,300,300,74.88,900,
100.1,100.1,4.2,301,333,27.76,700,
100,100,4.2,302,333,27.76,680,
100,100,4.1,299,333,77.76,1130,
100,100,4.1,300,333,77.76,970,
100,100,4.1,301,333,46.08,880,
99.9,99.9,4,301,333,46.08,830,
101,101,9.6,302,400,46.08,1800,
99.8,99.8,4.8,302,289,25.52,780,
99.7,99.7,4.7,301,289,46.56,1000,
99.7,99.7,4.73,302,289,79.12,1050,
99.9,99.9,4.1,301,333,79.12,1130,
200,200,3,600,303.5,46.8,2458,
200,200,3,601,303.5,46.8,2594,
200,200,3,602,303.5,46.8,2306,
200,200,3,603,303.5,46.8,2284,
200,200,3,604,303.5,46.8,2550,
200,200,3,605,303.5,46.8,2587,
149.8,149.8,4.27,600,412,31.9,1598,
149.8,149.8,4.27,1200,412,31.9,1586,
149.8,149.8,4.27,1800,412,31.9,1573,
149.8,149.8,4.27,2700,412,31.9,1356,
149.8,149.8,4.27,3600,412,31.9,1143,
149.8,149.8,4.27,4500,412,31.9,909,
120,120,5.86,2600,321.1,20.4,999.6,
200,200,5.86,2600,321.1,16.8,2082.5,
120,120,3.84,2600,330.1,17.9,754.2,
120,120,3.84,2600,330.1,17.9,833,
120,120,3.84,2600,330.1,29.3,980,
140,140,3.84,2600,330.1,17.7,1048.6,
140,140,3.84,2600,330.1,17.7,1127,
140,140,3.84,2600,330.1,29.3,1323,
101.6,101.6,2.13,914,336,23.8,524,
101.6,101.6,2.13,914,336,23.8,488,
101.6,101.6,3.18,914,336,29.3,667,
101.6,101.6,3.18,914,336,29.3,676,
127,127,4.8,914,492,45.5,1156,
127,127,2.13,914.4,484.72,44.82,1601.36,
101.6,101.6,2.13,914.4,330.96,23.44,524,
101.6,101.6,3.18,914.4,330.96,23.44,488.41,
101.6,101.6,3.18,914.4,330.96,28.82,667.23,
101.6,101.6,3.18,914.4,330.96,28.82,676.13,
203.3,204,10.01,3050,290,31.1,2869,
80,120,5,2760,386.3,44,600,
80,120,5,2740,357.5,35.7,407,
180,180,6.3,1000,397,92.4,4060,
180,180,6.3,4000,413,92.4,4008,
260,260,7.1,1000,426,92.4,7488,
260,260,7.1,4000,413,92.4,7536,
120,120,5,500,304,47,1440,
120,120,5,500,438,46,1690,
120,120,5,500,327,96,2040,
120,120,5,500,439,96,2240,
120,120,8,500,323,39,1550,
120,120,8,500,300,46,1670,
120,120,8,500,376,47,1990,
120,120,8,500,323,103,2270,
120,120,8,500,379,103,2680,
120,120,8,500,379,39,1800,
120,120,8,500,364,80,2300,
120,120,8,500,379,80,2290,
120,120,8,500,379,31,1680,
120,120,8,500,379,92,2430,
76.6,152.3,3,635,430,30.5,819,
76.5,152.8,4.47,635,383,26,1006,
101.8,152.4,4.32,635,413,26,1144,
102.8,152.7,4.57,635,365,23.8,1224,
101.3,151.4,5.72,635,324,23.8,1335,
102.1,151.4,7.34,635,358,23.8,1691,
127.3,127.3,3.15,635,356,30.5,917,
126.9,126.9,4.34,635,357,26,1095,
126.9,127,4.55,635,322,23.8,1113,
125.3,126.5,5.67,635,312,23.8,1202,
126.8,127.2,7.47,635,347,23.8,2069,
125,125,3.2,500,443,94,1598,
125,125,3.2,1000,443,94,1586,
125,125,3.2,1500,443,94,1574,
125,125,3.2,2250,443,94,1357,
125,125,3.2,3000,443,94,1144,
125,125,3.2,3750,443,94,909,
85,130,2.86,390,228,47.44,760,
85,130,2.86,390,228,47.44,820,
80,140,2.86,420,228,47.44,880,
80,140,2.86,420,228,47.44,740,
100,200,5,2000,360,33.4,1242,
100,200,5,2000,360,33.4,1242,
100,200,5,2000,360,10,1062,
100,200,5,2000,360,10,1022,
140,140,4,2100,366,33.4,1011,
140,140,4,2101,366,10,716,
140,140,5,2100,362,33.4,1248,
140,140,5,2100,362,10,1005,
90,150,3,2250,320,33.4,691,
90,150,3,2251,320,33.4,638,
90,150,3,2252,320,10,503,
90,150,3,2253,320,10,491,
90,150,3,2254,320,10,515,
90,150,3,2255,320,10,492,
90,150,3,2256,320,33.4,738,
90,150,3,2257,320,33.4,625,
100,100,2,2500,240,33.5,350,
100,100,2,2501,240,33.5,360,
100,100,2,2502,240,33.5,396,
100,100,2,2503,240,33.5,342,
100,100,2,2504,240,10,261,
100,100,2,2505,240,10,240,
100,100,2,2506,240,10,265,
100,100,2,2507,240,10,243,
200,200,3,2310,303.5,46.8,1986,
200,200,3,2311,303.5,46.8,2045,
200,200,3,2312,303.5,46.8,2280,
200,200,3,2313,303.5,46.8,2173,
200,200,3,2314,303.5,46.8,2258,
150.2,150.2,2.91,1110,319.3,68.5,2352,
149.5,149.5,2.89,2200,319.3,68.5,2077,
148.6,148.6,2.93,3101,319.3,68.5,1558,
151.4,151.4,4.77,1085,316.6,68.5,2597,
150,150,4.9,2201,316.6,68.5,2381,
150.7,150.7,4.89,3100,316.6,68.5,1627,
134.9,175.7,2.91,993,319.3,68.5,2401,
136.3,176.5,2.91,1980,319.3,68.5,2283,
124.6,199.3,2.92,921,319.3,68.5,2636,
125.9,199.9,2.9,1829,319.3,68.5,2303,
150.1,150.1,2.02,1050,217.48,25.9,800,
147.8,147.8,2.02,1050,217.48,25.9,650,
149.5,149.5,4.31,1050,245.54,40.7,1405,
149.1,149.1,4.31,1050,245.54,40.7,1435,
151,151,6.92,1050,292.31,25.9,1640,
151.6,151.6,6.92,1050,292.31,25.9,1735,
151,151,2.02,1550,217.48,34.6,800,
150.2,150.2,2.02,1550,217.48,34.6,850,
151,151,4.31,1550,245.54,35.4,1250,
149.8,149.8,4.31,1550,245.54,39,1350,
150,150,6.92,1550,292.31,25.9,1700,
149.7,149.7,6.92,1550,292.31,25.9,1700,
148.7,148.7,4.31,2050,245.54,25.4,1080,
147.2,147.2,4.31,2050,245.54,35.4,1150,
149.3,149.3,2.02,2550,217.48,25.9,680,
148.2,148.2,2.02,2550,217.48,25.9,600,
148.7,148.7,4.31,2550,245.54,39,1200,
147.7,147.7,4.31,2550,245.54,39,1175,
148,148,6.92,2550,292.31,35.4,1600,
148,148,6.92,2550,292.31,35.4,1740,
150,150,4.31,3050,245.54,36.5,1300,
150.5,150.5,4.31,3198,245.54,35.4,1125,
150.7,150.7,2.02,3586,217.48,40.6,850,
148.8,148.8,2.02,3585,217.48,40.6,860,
150,150,4.31,3596,245.54,39,1050,
148.2,148.2,4.31,3600,245.54,39,1075,
149.2,149.2,6.92,3583,292.31,35.4,1350,
150.7,150.7,6.92,3590,292.31,34.6,1400,
148.2,148.2,4.31,4098,245.54,36.5,955,
149.7,149.7,4.31,4096,245.54,36.5,950,
100,180,5.8,540,300,74.7,2059,
100,180,5.8,540,300,74.7,2019,
100,180,5.8,540,300,92,2287,
100,180,5.8,540,300,92,2291,
100,180,5.8,450,300,56,1815,
100,180,5.8,450,300,56,1763,
100,180,5.8,540,300,56,1725,
100,180,5.8,540,300,56,1742,
100,180,5.8,480,300,56,1947,
100,180,5.8,480,300,56,1912,
100,180,5.8,570,300,56,2035,
100,180,5.8,570,300,56,2138,
80.1,120.7,4.18,360,550,56.6,1450,
80.6,119.3,4.18,360,550,56.6,1425,
80.6,119.6,4.18,360,550,65.7,1560,
80.6,120.5,4.18,360,550,65.7,1700,
121.5,179.7,4.18,540,550,56.6,2530,
119.8,180.4,4.18,540,550,65.7,2970,
121.3,179.2,4.18,540,550,65.7,2590,
81.4,160.2,4.18,480,550,56.6,1710,
80.5,160.7,4.18,480,550,56.6,1820,
81,160.1,4.18,480,550,65.7,1880,
80.1,160.6,4.18,480,550,65.7,2100,
101.2,199.8,4.18,600,550,56.6,2350,
98.9,200.2,4.18,600,550,56.6,2380,
102.1,199.2,4.18,600,550,65.7,2900,
99.6,199.8,4.18,600,550,65.7,2800,
100,150,4,450,495,58.4,1735,
100,150,4,450,495,58.4,1778,
90,180,4,540,495,58.4,1773,
90,180,4,540,495,58.4,1795,
110,160,4,480,495,58.4,1982,
110,160,4,480,495,58.4,1923,
100,190,4,570,495,58.4,2049,
100,190,4,570,495,58.4,2124,
90,130,4,390,495,77.6,1752,
90,130,4,390,495,77.6,1806,
80,160,4,480,495,77.6,1878,
80,160,4,480,495,77.6,1858,
101.5,162.9,2,480,305.1,49.4,1068,
100.3,163.9,1.99,480,305.1,49.4,1080,
102.7,160.8,2.04,480,305.1,49.4,1080,
105.9,161.4,2.96,480,255.1,49.4,1420,
105.7,158.2,2.93,480,255.1,49.4,1440,
103.3,159.1,4.8,480,347.3,49.4,1875,
102.4,156.7,4.8,480,347.3,49.4,1915,
104.4,158.8,4.85,480,347.3,49.4,1820,
121.6,188.4,4.88,480,347.3,49.4,2260,
120.4,190.9,4.83,570,347.3,49.4,2510,
102.1,160.2,2,570,305.1,58.6,1555,
99.6,162.8,2.13,480,305.1,58.6,1460,
98.5,162.3,2,480,305.1,58.6,1545,
105.1,159.1,2.93,480,255.1,58.6,1610,
102.2,163.8,2.93,480,255.1,58.6,1680,
104.5,162.6,3.04,480,255.1,58.6,1640,
103.4,156.9,4.71,480,347.3,58.6,2090,
106.9,162,4.81,480,347.3,58.6,2320,
102.6,158.9,4.74,480,347.3,58.6,2060,
119.7,164.6,2.01,480,305.1,58.6,1800,
121,194.8,4.72,570,347.3,49.4,2700,
121.7,189.6,4.81,570,347.3,49.4,2680,
100.7,162.7,2.97,480,255.1,49.4,1080,
149.3,149.3,3.64,1350,289,44,1552,
99.6,200.6,3.56,1800,289,44,1461,
114.3,114.3,9.63,406.4,254.07,32.13,2442.07,
114.86,114.86,4.39,406.4,254.07,32.13,896.76,
76.2,76.2,3.35,1727.2,324.05,35.85,355.86,
76.2,76.2,3.35,1422.4,324.05,34.03,385.22,
76.2,76.2,3.35,1117.6,324.05,46.75,422.58,
76.2,76.2,3.35,812.8,324.05,45.06,462.62,
76.2,76.2,3.35,508,324.05,40.85,505.76,
76.2,76.2,3.35,254,324.05,40.85,511.55,
204,203.3,10.01,3050,290,31.1,2869,
150,150,0.7,480,245.17,22.56,558,
150,150,0.7,800,245.17,22.56,611.93,
150,150,1.4,800,245.17,22.56,711.96,
150,150,2.1,800,245.17,22.56,793.36,
150,200,0.7,480,245.17,22.56,795.32,
150,200,0.7,800,245.17,22.56,705.1,
150,200,1.4,800,245.17,22.56,881.62,
150,200,2.1,800,245.17,22.56,844.35,
150,150,0.7,480,245.17,33.73,747.27,
150,150,1.4,800,245.17,35.3,973.8,
150,200,1.4,480,245.17,33.73,1172.88,
150,200,2.1,800,245.17,35.3,1268,
80,120,5,200,357.5,35.7,850,
80,120,5,200,341,38.8,900,
80,120,5,200,341,40.5,920,
80,120,5,200,362.6,39.1,950,
80,120,5,200,362.6,36,955,
100,150,5,100,346.7,38.5,1370,
100,150,5,200,346.7,38.5,1210,
100,150,5,100,346.7,38.3,1340,
100,150,5,200,346.7,38.3,1200,
100,150,5,100,340,38.7,1300,
100,150,5,200,340,38.7,1190,
100,150,5,100,340,39.6,1320,
100,150,5,200,340,39.6,1200,
100,150,5,2940,346.7,38.5,1003,
150,150,4.5,600,438.36,31.87,1597.5,
150,150,4.5,1200,438.36,31.87,1585.74,
150,150,4.5,1800,438.36,31.87,1572.99,
150,150,4.5,2700,438.36,31.87,1356.26,
150,150,4.5,3600,438.36,31.87,1143.46,
150,150,4.5,4500,438.36,31.87,909.08,
130,130,2.65,780,340.1,22,760,
130,130,2.65,780,340.1,22,770,
130,130,2.65,780,340.1,22,690,
130,130,2.65,780,340.1,22,739,
240,360,2.65,1440,340.1,22,2300,
240,360,2.65,1440,340.1,22,2250,
240,360,2.65,1440,340.1,22,1610,
240,360,2.65,1440,340.1,22,1600,
130,195,2.65,780,340.1,22,980,
130,195,2.65,780,340.1,22,960,
130,195,2.65,780,340.1,22,880,
130,195,2.65,780,340.1,22,900,
130,195,2.65,2340,340.1,22,890,
130,195,2.65,2340,340.1,22,815,
130,195,2.65,2340,340.1,22,645,
130,195,2.65,2340,340.1,22,625,
90,135,2.65,540,340.1,22,580,
90,135,2.65,540,340.1,22,592,
90,135,2.65,540,340.1,22,570,
90,135,2.65,540,340.1,22,552,
120,240,2.65,720,340.1,22,1140,
120,240,2.65,720,340.1,22,1032,
120,240,2.65,720,340.1,22,968,
60,100,2.93,600,293.5,34.3,490,
80,100,2.93,600,293.5,34.3,680,
60,120,2.93,600,293.5,34.3,570,
90,120,2.93,600,293.5,34.3,825,
120,120,2.65,360,340,20.1,640,
120,120,2.65,360,340,20.1,664,
120,120,2.65,360,340,36,816,
120,120,2.65,360,340,36,812,
120,120,2.65,1400,340,36,769,
120,120,2.65,1400,340,36,730,
100,200,5,2000,360,33.4,1242,
100,200,5,2000,360,33.4,1242,
100,200,5,2000,360,10,1062,
100,200,5,2000,360,10,1022,
140,140,4,2100,366,33.4,1011,
140,140,4,2100,366,10,716,
140,140,5,2100,362,33.4,1248,
140,140,5,2100,362,10,1005,
90,150,3,2250,320,33.4,691,
90,150,3,2250,320,33.4,638,
90,150,3,2250,320,10,503,
90,150,3,2250,320,10,491,
90,150,3,2250,320,10,515,
90,150,3,2250,320,10,492,
90,150,3,2250,320,33.4,738,
90,150,3,2250,320,33.4,625,
100,100,2,2500,240,33.4,350,
100,100,2,2500,240,33.4,360,
100,100,2,2500,240,33.4,396,
100,100,2,2500,240,33.4,342,
100,100,2,2500,240,10,261,
100,100,2,2500,240,10,240,
100,100,2,2500,240,10,265,
100,100,2,2500,240,10,243,
100,100,2.93,600,293.5,34.3,802,
120,120,2.93,600,293.5,34.3,1054,
200,200,3,600,303.5,58.5,2458,
200,200,3,600,303.5,58.5,2594,
200,200,3,600,303.5,58.5,2306,
200,200,3,600,303.5,58.5,2284,
200,200,3,600,303.5,58.5,2550,
200,200,3,600,303.5,58.5,2587,
200,200,3,2310,303.5,58.5,1986,
200,200,3,2310,303.5,58.5,2045,
200,200,3,2310,303.5,58.5,2280,
200,200,3,2310,303.5,58.5,2173,
200,200,3,2310,303.5,58.5,2258,
148,148,4.38,444,262,25.4,1153,
148,148,4.38,444,262,40.5,1414,
148,148,4.38,444,262,40.5,1402,
148,148,4.38,444,262,77,2108,
215,215,4.38,645,262,25.4,1777,
215,215,4.38,645,262,41.1,2424,
215,215,4.38,645,262,41.1,2393,
215,215,4.38,645,262,80.3,3837,
323,323,4.38,969,262,25.4,3367,
323,323,4.38,969,262,41.1,4950,
