b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN)
119.80,180.40,4.18,540.00,550.00,65.70,2970.00
121.30,179.20,4.18,540.00,550.00,65.70,2590.00
81.40,160.20,4.18,480.00,550.00,56.60,1710.00
80.50,160.70,4.18,480.00,550.00,56.60,1820.00
81.00,160.10,4.18,480.00,550.00,65.70,1880.00
80.10,160.60,4.18,480.00,550.00,65.70,2100.00
101.20,199.80,4.18,600.00,550.00,56.60,2350.00
98.90,200.20,4.18,600.00,550.00,56.60,2380.00
102.10,199.20,4.18,600.00,550.00,65.70,2900.00
99.60,199.80,4.18,600.00,550.00,65.70,2800.00
100.00,150.00,4.00,450.00,495.00,58.40,1735.00
100.00,150.00,4.00,450.00,495.00,58.40,1778.00
90.00,180.00,4.00,540.00,495.00,58.40,1773.00
90.00,180.00,4.00,540.00,495.00,58.40,1795.00
110.00,160.00,4.00,480.00,495.00,58.40,1982.00
110.00,160.00,4.00,480.00,495.00,58.40,1923.00
100.00,190.00,4.00,570.00,495.00,58.40,2049.00
100.00,190.00,4.00,570.00,495.00,58.40,2124.00
90.00,130.00,4.00,390.00,495.00,77.60,1752.00
90.00,130.00,4.00,390.00,495.00,77.60,1806.00
80.00,160.00,4.00,480.00,495.00,77.60,1878.00
80.00,160.00,4.00,480.00,495.00,77.60,1858.00
101.50,162.90,2.00,480.00,305.10,49.40,1068.00
100.30,163.90,1.99,480.00,305.10,49.40,1080.00
102.70,160.80,2.04,480.00,305.10,49.40,1080.00
105.90,161.40,2.96,480.00,255.10,49.40,1420.00
105.70,158.20,2.93,480.00,255.10,49.40,1440.00
103.30,159.10,4.80,480.00,347.30,49.40,1875.00
102.40,156.70,4.80,480.00,347.30,49.40,1915.00
104.40,158.80,4.85,480.00,347.30,49.40,1820.00
121.60,188.40,4.88,480.00,347.30,49.40,2260.00
120.40,190.90,4.83,570.00,347.30,49.40,2510.00
102.10,160.20,2.00,570.00,305.10,58.60,1555.00
99.60,162.80,2.13,480.00,305.10,58.60,1460.00
98.50,162.30,2.00,480.00,305.10,58.60,1545.00
105.10,159.10,2.93,480.00,255.10,58.60,1610.00
102.20,163.80,2.93,480.00,255.10,58.60,1680.00
104.50,162.60,3.04,480.00,255.10,58.60,1640.00
103.40,156.90,4.71,480.00,347.30,58.60,2090.00
106.90,162.00,4.81,480.00,347.30,58.60,2320.00
102.60,158.90,4.74,480.00,347.30,58.60,2060.00
119.70,164.60,2.01,480.00,305.10,58.60,1800.00
121.00,194.80,4.72,570.00,347.30,49.40,2700.00
121.70,189.60,4.81,570.00,347.30,49.40,2680.00
100.70,162.70,2.97,480.00,255.10,49.40,1080.00
149.30,149.30,3.64,1350.00,289.00,44.00,1552.00
99.60,200.60,3.56,1800.00,289.00,44.00,1461.00
114.30,114.30,9.63,406.40,254.07,32.13,2442.07
114.86,114.86,4.39,406.40,254.07,32.13,896.76
76.20,76.20,3.35,1727.20,324.05,35.85,355.86
76.20,76.20,3.35,1422.40,324.05,34.03,385.22
76.20,76.20,3.35,1117.60,324.05,46.75,422.58
76.20,76.20,3.35,812.80,324.05,45.06,462.62
76.20,76.20,3.35,508.00,324.05,40.85,505.76
76.20,76.20,3.35,254.00,324.05,40.85,511.55
204.00,203.30,10.01,3050.00,290.00,31.10,2869.00
150.00,150.00,0.70,480.00,245.17,22.56,558.00
150.00,150.00,0.70,800.00,245.17,22.56,611.93
150.00,150.00,1.40,800.00,245.17,22.56,711.96
150.00,150.00,2.10,800.00,245.17,22.56,793.36
150.00,200.00,0.70,480.00,245.17,22.56,795.32
150.00,200.00,0.70,800.00,245.17,22.56,705.10
150.00,200.00,1.40,800.00,245.17,22.56,881.62
150.00,200.00,2.10,800.00,245.17,22.56,844.35
150.00,150.00,0.70,480.00,245.17,33.73,747.27
150.00,150.00,1.40,800.00,245.17,35.30,973.80
150.00,200.00,1.40,480.00,245.17,33.73,1172.88
150.00,200.00,2.10,800.00,245.17,35.30,1268.00
80.00,120.00,5.00,200.00,357.50,35.70,850.00
80.00,120.00,5.00,200.00,341.00,38.80,900.00
80.00,120.00,5.00,200.00,341.00,40.50,920.00
80.00,120.00,5.00,200.00,362.60,39.10,950.00
80.00,120.00,5.00,200.00,362.60,36.00,955.00
100.00,150.00,5.00,100.00,346.70,38.50,1370.00
100.00,150.00,5.00,200.00,346.70,38.50,1210.00
100.00,150.00,5.00,100.00,346.70,38.30,1340.00
100.00,150.00,5.00,200.00,346.70,38.30,1200.00
100.00,150.00,5.00,100.00,340.00,38.70,1300.00
100.00,150.00,5.00,200.00,340.00,38.70,1190.00
100.00,150.00,5.00,100.00,340.00,39.60,1320.00
100.00,150.00,5.00,200.00,340.00,39.60,1200.00
100.00,150.00,5.00,2940.00,346.70,38.50,1003.00
150.00,150.00,4.50,600.00,438.36,31.87,1597.50
150.00,150.00,4.50,1200.00,438.36,31.87,1585.74
150.00,150.00,4.50,1800.00,438.36,31.87,1572.99
150.00,150.00,4.50,2700.00,438.36,31.87,1356.26
150.00,150.00,4.50,3600.00,438.36,31.87,1143.46
150.00,150.00,4.50,4500.00,438.36,31.87,909.08
130.00,130.00,2.65,780.00,340.10,22.00,760.00
130.00,130.00,2.65,780.00,340.10,22.00,770.00
130.00,130.00,2.65,780.00,340.10,22.00,690.00
130.00,130.00,2.65,780.00,340.10,22.00,739.00
240.00,360.00,2.65,1440.00,340.10,22.00,2300.00
240.00,360.00,2.65,1440.00,340.10,22.00,2250.00
240.00,360.00,2.65,1440.00,340.10,22.00,1610.00
240.00,360.00,2.65,1440.00,340.10,22.00,1600.00
130.00,195.00,2.65,780.00,340.10,22.00,980.00
130.00,195.00,2.65,780.00,340.10,22.00,960.00
130.00,195.00,2.65,780.00,340.10,22.00,880.00
130.00,195.00,2.65,780.00,340.10,22.00,900.00
130.00,195.00,2.65,2340.00,340.10,22.00,890.00
130.00,195.00,2.65,2340.00,340.10,22.00,815.00
130.00,195.00,2.65,2340.00,340.10,22.00,645.00
130.00,195.00,2.65,2340.00,340.10,22.00,625.00
90.00,135.00,2.65,540.00,340.10,22.00,580.00
90.00,135.00,2.65,540.00,340.10,22.00,592.00
90.00,135.00,2.65,540.00,340.10,22.00,570.00
90.00,135.00,2.65,540.00,340.10,22.00,552.00
120.00,240.00,2.65,720.00,340.10,22.00,1140.00
120.00,240.00,2.65,720.00,340.10,22.00,1032.00
120.00,240.00,2.65,720.00,340.10,22.00,968.00
60.00,100.00,2.93,600.00,293.50,34.30,490.00
80.00,100.00,2.93,600.00,293.50,34.30,680.00
60.00,120.00,2.93,600.00,293.50,34.30,570.00
90.00,120.00,2.93,600.00,293.50,34.30,825.00
120.00,120.00,2.65,360.00,340.00,20.10,640.00
120.00,120.00,2.65,360.00,340.00,20.10,664.00
120.00,120.00,2.65,360.00,340.00,36.00,816.00
120.00,120.00,2.65,360.00,340.00,36.00,812.00
120.00,120.00,2.65,1400.00,340.00,36.00,769.00
120.00,120.00,2.65,1400.00,340.00,36.00,730.00
100.00,200.00,5.00,2000.00,360.00,33.40,1242.00
100.00,200.00,5.00,2000.00,360.00,33.40,1242.00
100.00,200.00,5.00,2000.00,360.00,10.00,1062.00
100.00,200.00,5.00,2000.00,360.00,10.00,1022.00
140.00,140.00,4.00,2100.00,366.00,33.40,1011.00
140.00,140.00,4.00,2100.00,366.00,10.00,716.00
140.00,140.00,5.00,2100.00,362.00,33.40,1248.00
140.00,140.00,5.00,2100.00,362.00,10.00,1005.00
90.00,150.00,3.00,2250.00,320.00,33.40,691.00
90.00,150.00,3.00,2250.00,320.00,33.40,638.00
90.00,150.00,3.00,2250.00,320.00,10.00,503.00
90.00,150.00,3.00,2250.00,320.00,10.00,491.00
90.00,150.00,3.00,2250.00,320.00,10.00,515.00
90.00,150.00,3.00,2250.00,320.00,10.00,492.00
90.00,150.00,3.00,2250.00,320.00,33.40,738.00
90.00,150.00,3.00,2250.00,320.00,33.40,625.00
100.00,100.00,2.00,2500.00,240.00,33.40,350.00
100.00,100.00,2.00,2500.00,240.00,33.40,360.00
100.00,100.00,2.00,2500.00,240.00,33.40,396.00
100.00,100.00,2.00,2500.00,240.00,33.40,342.00
100.00,100.00,2.00,2500.00,240.00,10.00,261.00
100.00,100.00,2.00,2500.00,240.00,10.00,240.00
100.00,100.00,2.00,2500.00,240.00,10.00,265.00
100.00,100.00,2.00,2500.00,240.00,10.00,243.00
100.00,100.00,2.93,600.00,293.50,34.30,802.00
120.00,120.00,2.93,600.00,293.50,34.30,1054.00
200.00,200.00,3.00,600.00,303.50,58.50,2458.00
200.00,200.00,3.00,600.00,303.50,58.50,2594.00
200.00,200.00,3.00,600.00,303.50,58.50,2306.00
200.00,200.00,3.00,600.00,303.50,58.50,2284.00
200.00,200.00,3.00,600.00,303.50,58.50,2550.00
200.00,200.00,3.00,600.00,303.50,58.50,2587.00
200.00,200.00,3.00,2310.00,303.50,58.50,1986.00
200.00,200.00,3.00,2310.00,303.50,58.50,2045.00
200.00,200.00,3.00,2310.00,303.50,58.50,2280.00
200.00,200.00,3.00,2310.00,303.50,58.50,2173.00
200.00,200.00,3.00,2310.00,303.50,58.50,2258.00
148.00,148.00,4.38,444.00,262.00,25.40,1153.00
148.00,148.00,4.38,444.00,262.00,40.50,1414.00
148.00,148.00,4.38,444.00,262.00,40.50,1402.00
148.00,148.00,4.38,444.00,262.00,77.00,2108.00
215.00,215.00,4.38,645.00,262.00,25.40,1777.00
215.00,215.00,4.38,645.00,262.00,41.10,2424.00
215.00,215.00,4.38,645.00,262.00,41.10,2393.00
215.00,215.00,4.38,645.00,262.00,80.30,3837.00
323.00,323.00,4.38,969.00,262.00,25.40,3367.00
323.00,323.00,4.38,969.00,262.00,41.10,4950.00
323.00,323.00,4.38,969.00,262.00,41.10,4830.00
324.00,324.00,4.38,972.00,262.00,80.30,7481.00
144.00,144.00,6.36,432.00,618.00,25.40,2572.00
144.00,144.00,6.36,432.00,618.00,40.50,2808.00
144.00,144.00,6.36,432.00,618.00,40.50,2765.00
144.00,144.00,6.36,432.00,618.00,77.00,3399.00
211.00,211.00,6.36,633.00,618.00,25.40,3920.00
211.00,211.00,6.36,633.00,618.00,40.50,4428.00
211.00,211.00,6.36,633.00,618.00,40.50,4484.00
211.00,211.00,6.36,633.00,618.00,77.00,5758.00
319.00,319.00,6.36,957.00,618.00,25.40,6320.00
319.00,319.00,6.36,957.00,618.00,41.10,7780.00
318.00,318.00,6.36,954.00,618.00,41.10,7473.00
319.00,319.00,6.36,957.00,618.00,85.10,10357.00
120.00,120.00,6.47,360.00,835.00,25.40,2819.00
120.00,120.00,6.47,360.00,835.00,40.50,2957.00
120.00,120.00,6.47,360.00,835.00,40.50,2961.00
119.00,119.00,6.47,357.00,835.00,77.00,3318.00
175.00,175.00,6.47,525.00,835.00,25.40,4210.00
175.00,175.00,6.47,525.00,835.00,40.50,4493.00
175.00,175.00,6.47,525.00,835.00,40.50,4542.00
175.00,175.00,6.47,525.00,835.00,77.00,5366.00
265.00,265.00,6.47,795.00,835.00,25.40,6546.00
264.00,264.00,6.47,792.00,835.00,41.10,7117.00
265.00,265.00,6.47,795.00,835.00,41.10,7172.00
265.00,265.00,6.47,795.00,835.00,80.30,8990.00
210.00,210.00,5.48,630.00,294.00,39.10,3183.00
211.00,211.00,5.48,633.00,294.00,91.10,4773.00
210.00,210.00,4.50,630.00,277.00,39.10,2713.00
211.00,211.00,4.50,633.00,277.00,91.10,4371.00
211.00,211.00,8.83,633.00,536.00,39.10,5898.00
211.00,211.00,8.83,633.00,536.00,91.10,7008.00
204.00,204.00,5.95,612.00,540.00,39.10,4026.00
204.00,204.00,5.95,612.00,540.00,91.10,5303.00
180.00,180.00,9.45,540.00,825.00,39.10,6803.00
180.00,180.00,9.45,540.00,825.00,91.10,7402.00
180.00,180.00,6.60,540.00,824.00,39.10,5028.00
180.00,180.00,6.60,540.00,824.00,91.10,5873.00
200.00,200.00,2.50,1190.00,270.00,58.30,2260.00
200.00,200.00,2.50,2340.00,270.00,58.30,2305.00
100.00,100.00,1.90,300.00,404.00,121.60,1209.00
100.00,100.00,1.90,300.00,404.00,121.60,1220.00
100.00,100.00,1.90,300.00,404.00,121.60,1190.00
100.00,100.00,1.90,300.00,404.00,121.60,1220.00
100.00,100.00,1.90,900.00,404.00,121.60,1013.00
100.00,100.00,1.90,900.00,404.00,121.60,1010.00
100.00,100.00,1.90,1500.00,404.00,121.60,915.00
100.00,100.00,1.90,1500.00,404.00,121.60,945.00
100.00,100.00,1.90,3000.00,404.00,121.60,474.00
100.00,100.00,1.90,3000.00,404.00,121.60,466.00
150.00,150.00,3.00,675.00,324.40,52.60,1516.00
150.00,150.00,3.00,900.00,324.40,52.60,1599.00
249.60,249.60,3.70,750.00,324.30,40.40,3131.00
251.00,251.00,3.75,750.00,324.30,40.40,2832.00
251.10,251.10,3.73,750.00,324.30,40.40,2677.00
70.00,70.00,5.00,210.00,701.00,21.00,1367.00
100.00,100.00,5.00,300.00,701.00,21.00,1934.00
125.00,125.00,5.00,375.00,701.00,21.00,2348.00
150.00,150.00,5.00,450.00,701.00,21.00,2828.00
110.00,110.00,5.00,330.00,701.00,54.50,2203.00
110.00,110.00,5.00,330.00,701.00,54.50,2234.00
140.00,140.00,5.00,420.00,701.00,54.50,2942.00
140.00,140.00,5.00,420.00,701.00,54.50,2840.00
170.00,170.00,5.00,510.00,701.00,54.50,3118.00
170.00,170.00,5.00,510.00,701.00,54.50,3243.00
180.00,180.00,5.00,570.00,701.00,54.50,3882.00
180.00,180.00,5.00,570.00,701.00,54.50,3856.00
101.00,203.00,8.28,607.00,488.38,43.20,3090.00
102.00,203.00,8.28,60.00,488.38,55.30,3230.00
119.00,183.00,8.28,541.00,488.38,43.20,3300.00
122.00,182.00,8.28,541.00,488.38,55.30,3380.00
150.00,150.00,8.28,453.00,488.38,43.20,3500.00
150.00,152.00,8.28,451.00,488.38,55.30,3575.00
100.00,120.00,5.70,361.00,514.53,43.20,1960.00
100.00,120.00,5.70,360.00,514.53,55.30,2100.00
121.00,182.00,5.70,540.00,514.53,43.20,2485.00
122.00,181.00,5.70,540.00,514.53,55.30,2710.00
103.00,121.00,7.69,363.00,423.20,43.20,2545.00
101.00,120.00,7.69,358.00,423.20,55.30,2730.00
119.00,179.00,7.69,542.00,423.20,43.20,3130.00
120.00,180.00,7.69,545.00,423.20,55.30,3150.00
101.60,101.60,3.00,1000.00,483.90,25.00,718.88
101.60,101.60,3.00,1500.00,483.90,25.00,691.38
101.60,101.60,3.00,2000.00,483.90,25.00,589.48
101.60,101.60,3.00,2500.00,483.90,25.00,471.29
120.00,120.00,3.50,1000.00,401.00,25.00,1164.16
120.00,120.00,3.50,1500.00,401.00,25.00,997.19
120.00,120.00,3.50,2000.00,401.00,25.00,899.65
120.00,120.00,3.50,2500.00,401.00,25.00,729.10
150.00,150.00,3.50,1000.00,405.00,25.00,1516.26
150.00,150.00,3.50,1500.00,405.00,25.00,1330.13
150.00,150.00,3.50,2000.00,405.00,25.00,1307.61
150.00,150.00,3.50,2500.00,405.00,25.00,1198.25
60.00,60.00,3.00,2700.00,351.51,28.80,105.40
60.00,60.00,4.00,2700.00,528.55,28.80,127.70
60.00,60.00,4.50,2700.00,522.11,28.80,156.00
63.00,63.00,3.00,2700.00,442.69,28.80,123.60
63.00,63.00,4.00,2700.00,517.49,28.80,154.70
63.00,63.00,4.50,2700.00,449.95,28.80,168.60
76.00,76.00,3.00,2700.00,441.12,28.80,212.00
76.00,76.00,4.00,2700.00,498.38,28.80,247.30
76.00,76.00,4.50,2700.00,500.97,28.80,266.50
100.00,100.00,3.00,2700.00,441.19,28.80,405.00
100.00,100.00,4.50,2700.00,424.49,28.80,501.71
120.00,120.00,3.00,2700.00,400.77,28.80,770.39
120.00,120.00,4.50,2700.00,436.54,28.80,830.00
150.00,150.00,3.00,2700.00,429.14,28.80,1087.10
150.00,150.00,4.50,2700.00,334.80,28.80,1285.10
73.93,73.93,4.89,1512.00,762.00,113.00,1732.00
73.84,73.84,4.89,1512.00,762.00,113.00,1362.00
73.60,73.60,4.96,1512.00,762.00,113.00,1572.00
98.87,98.87,4.93,1512.00,762.00,113.00,2087.00
98.89,98.89,4.92,1512.00,762.00,113.00,2109.00
99.29,99.29,4.89,1512.00,762.00,113.00,2374.00
124.12,124.12,4.93,1512.00,762.00,113.00,3748.00
124.39,124.39,4.89,1512.00,762.00,113.00,3560.00
124.05,124.05,4.93,1512.00,762.00,113.00,2799.00
74.36,74.36,4.90,2512.00,762.00,113.00,583.00
74.44,74.44,4.94,2512.00,762.00,113.00,878.00
75.08,75.08,4.92,2512.00,762.00,113.00,594.00
99.95,99.95,4.90,2512.00,762.00,113.00,1377.00
100.00,100.00,4.93,2512.00,762.00,113.00,1049.00
99.37,99.37,4.91,2512.00,762.00,113.00,1235.00
124.60,124.60,4.93,2512.00,762.00,113.00,2823.00
125.09,125.09,4.89,2512.00,762.00,113.00,2546.00
124.54,124.54,4.92,2512.00,762.00,113.00,2522.00
149.72,149.72,4.94,2512.00,762.00,113.00,3938.00
149.96,149.96,4.91,2512.00,762.00,113.00,3739.00
150.31,150.31,4.92,2512.00,762.00,113.00,3988.00
199.62,199.62,4.95,2512.00,762.00,113.00,6141.00
199.50,199.50,4.92,2512.00,762.00,113.00,6004.00
199.78,199.78,4.92,2512.00,762.00,113.00,6329.00
74.41,74.41,4.95,3512.00,762.00,113.00,469.00
73.95,73.95,4.97,3512.00,762.00,113.00,286.00
74.16,74.16,4.89,3512.00,762.00,113.00,410.00
98.99,98.99,4.95,3512.00,762.00,113.00,810.00
99.40,99.40,4.92,3512.00,762.00,113.00,851.00
99.51,99.51,4.92,3512.00,762.00,113.00,761.00
124.41,124.41,4.92,3512.00,762.00,113.00,1535.00
124.24,124.24,4.92,3512.00,762.00,113.00,1196.00
124.40,124.40,4.95,3512.00,762.00,113.00,1539.00
149.33,149.33,4.93,3512.00,762.00,113.00,4142.00
148.88,148.88,4.93,3512.00,762.00,113.00,2303.00
149.92,149.92,4.93,3512.00,762.00,113.00,2556.00
199.84,199.84,4.93,3512.00,762.00,113.00,5002.00
199.59,199.59,4.92,3512.00,762.00,113.00,5896.00
200.67,200.67,4.93,3512.00,762.00,113.00,5052.00
74.04,74.04,4.91,285.00,762.00,100.00,1636.00
72.87,72.87,4.88,285.00,762.00,100.00,1755.00
99.56,99.56,4.91,360.00,762.00,100.00,2520.00
99.20,99.20,4.93,360.00,762.00,100.00,2632.00
124.43,124.43,4.93,435.00,762.00,100.00,3023.00
124.94,124.94,4.94,435.00,762.00,100.00,2962.00
149.99,149.99,4.92,510.00,762.00,100.00,4115.00
149.87,149.87,4.92,510.00,762.00,100.00,3968.00
149.77,149.77,4.93,1514.00,762.00,113.00,5164.00
149.37,149.37,4.94,1514.00,762.00,113.00,4833.00
149.58,149.58,4.95,1514.00,762.00,113.00,5085.00
199.01,199.01,4.92,660.00,762.00,113.00,5184.00
198.71,198.71,4.92,660.00,762.00,113.00,5604.00
198.92,198.92,4.91,1514.00,762.00,113.00,7478.00
198.99,198.99,4.92,1514.00,762.00,113.00,7506.00
198.96,198.96,4.94,1514.00,762.00,113.00,6460.00
186.00,186.00,3.00,540.00,300.00,32.00,1555.00
126.00,126.00,3.00,360.00,300.00,50.00,1114.00
120.00,120.00,5.00,430.00,761.00,20.34,1835.00
170.00,170.00,5.00,580.00,761.00,20.34,2831.00
220.00,220.00,5.00,730.00,761.00,20.34,3609.00
270.00,270.00,5.00,880.00,761.00,20.34,3950.00
65.00,65.00,3.00,250.00,350.00,79.00,502.00
75.00,75.00,3.00,250.00,370.00,79.00,684.00
75.00,65.00,3.00,250.00,370.00,52.00,568.00
65.00,75.00,3.00,250.00,350.00,52.00,434.00
75.00,75.00,3.00,1770.00,450.00,79.00,414.00
65.00,75.00,3.00,1770.00,400.00,79.00,294.00
75.00,65.00,3.00,1770.00,450.00,52.00,343.00
65.00,75.00,3.00,1770.00,400.00,52.00,269.00
150.00,150.00,8.00,450.00,779.00,152.30,6536.00
150.00,150.00,8.00,450.00,779.00,157.20,6715.00
150.00,150.00,8.00,450.00,779.00,147.00,6616.00
150.00,150.00,8.00,450.00,779.00,164.10,7276.00
150.00,150.00,8.00,450.00,779.00,148.00,6974.00
150.00,150.00,12.00,450.00,756.00,152.30,8585.00
150.00,150.00,12.00,450.00,756.00,157.20,8452.00
150.00,150.00,12.00,450.00,756.00,147.00,8687.00
150.00,150.00,12.00,450.00,756.00,164.10,8730.00
150.00,150.00,12.00,450.00,756.00,148.00,8912.00
150.00,150.00,12.50,450.00,446.00,152.30,5953.00
150.00,150.00,12.50,450.00,446.00,157.20,5911.00
150.00,150.00,12.50,450.00,446.00,147.00,6039.00
150.00,150.00,12.50,450.00,446.00,164.10,6409.00
150.00,150.00,12.50,450.00,446.00,148.00,6285.00
197.00,197.00,6.40,600.00,437.88,26.58,2730.00
198.50,198.50,6.10,600.00,437.88,25.81,3010.00
200.50,200.50,6.30,600.00,437.88,24.47,2830.00
201.00,201.00,10.30,600.00,381.68,26.58,3980.00
201.00,201.00,10.00,600.00,381.68,25.81,3920.00
199.50,199.50,10.10,600.00,381.68,24.47,3900.00
100.00,150.00,4.50,1855.00,379.80,29.00,1344.80
100.00,150.00,4.50,1855.00,379.80,29.00,1281.30
100.00,150.00,4.50,1855.00,379.80,29.00,1320.20
100.00,150.00,4.50,1855.00,379.80,29.00,1367.60
100.00,150.00,4.50,1855.00,379.80,63.00,1756.10
100.00,150.00,4.50,1855.00,379.80,63.00,1702.80
100.00,150.00,4.50,1855.00,379.80,63.00,1762.70
100.00,150.00,4.50,1855.00,379.80,63.00,1737.50
100.00,150.00,4.50,1855.00,379.80,63.00,1669.20
100.00,150.00,4.50,1855.00,379.80,63.00,1705.80
100.00,150.00,4.50,1855.00,379.80,70.00,1894.60
100.00,150.00,4.50,1855.00,379.80,70.00,1889.20
100.00,150.00,4.50,1855.00,379.80,70.00,1885.60
100.00,150.00,4.50,1855.00,379.80,70.00,1891.60
100.00,150.00,4.50,1855.00,379.80,70.00,1862.30
100.00,150.00,4.50,1855.00,379.80,70.00,1889.80
100.00,150.00,4.50,1855.00,379.80,84.00,2066.10
100.00,150.00,4.50,1855.00,379.80,84.00,2196.40
100.00,150.00,4.50,1855.00,379.80,84.00,2096.10
100.00,150.00,4.50,1855.00,379.80,84.00,2090.10
100.00,150.00,4.50,1855.00,379.80,84.00,2006.70
100.00,150.00,4.50,1855.00,379.80,84.00,2083.50
150.00,150.00,8.00,450.00,779.00,152.30,6536.00
150.00,150.00,8.00,450.00,779.00,157.20,6715.00
150.00,150.00,8.00,450.00,779.00,147.00,6616.00
150.00,150.00,8.00,450.00,779.00,164.10,7276.00
150.00,150.00,8.00,450.00,779.00,148.00,6974.00
150.00,150.00,12.00,450.00,756.00,152.30,8585.00
150.00,150.00,12.00,450.00,756.00,157.20,8452.00
150.00,150.00,12.00,450.00,756.00,147.00,8687.00
150.00,150.00,12.00,450.00,756.00,164.10,8730.00
150.00,150.00,12.00,450.00,756.00,148.00,8912.00
150.00,150.00,12.50,450.00,446.00,152.30,5953.00
150.00,150.00,12.50,450.00,446.00,157.20,5911.00
150.00,150.00,12.50,450.00,446.00,147.00,6039.00
150.00,150.00,12.50,450.00,446.00,164.10,6409.00
150.00,150.00,12.50,450.00,446.00,148.00,6285.00
100.40,100.40,2.07,300.00,348.70,59.00,987.00
100.40,100.40,2.03,300.00,348.70,113.20,1406.00
100.40,100.40,2.05,300.00,348.70,130.80,1575.00
100.40,100.40,3.79,300.00,306.70,59.00,1138.00
100.30,100.30,3.83,300.00,306.70,113.20,1544.00
100.40,100.40,3.79,300.00,306.70,130.80,1676.00
100.70,100.70,7.60,300.00,371.60,59.00,1647.00
100.70,100.70,7.59,300.00,371.60,113.20,1976.00
100.70,100.70,7.63,300.00,371.60,130.80,2051.00
125.00,125.00,4.00,300.00,342.59,46.67,1159.20
125.00,125.00,4.00,300.00,342.59,94.33,1882.50
100.00,150.00,4.00,300.00,270.84,40.41,912.00
100.00,150.00,4.00,300.00,270.84,90.58,1188.50
125.00,125.00,3.00,300.00,296.06,46.67,824.50
125.00,125.00,3.00,300.00,296.06,94.31,1441.20
200.00,200.00,6.00,695.00,485.00,38.00,3488.00
200.00,200.00,6.00,695.00,485.00,38.00,3452.00
200.00,200.00,6.00,695.00,485.00,80.50,4921.00
200.00,200.00,6.00,695.00,485.00,80.50,4973.00
200.00,200.00,6.00,695.00,485.00,112.10,6060.00
200.00,200.00,6.00,695.00,485.00,112.10,6298.00
200.00,200.00,6.00,695.00,485.00,112.10,6218.00
126.00,126.00,3.00,300.00,300.00,40.00,950.00
156.00,156.00,3.00,300.00,300.00,50.00,1300.00
186.00,186.00,3.00,300.00,300.00,32.00,1200.00
246.00,246.00,3.00,300.00,300.00,38.00,2200.00
306.00,306.00,3.00,300.00,300.00,38.00,2519.00
126.00,126.00,3.00,360.00,300.00,50.00,1114.00
156.00,156.00,3.00,450.00,300.00,50.00,1708.00
186.00,186.00,3.00,540.00,300.00,32.00,1555.00
246.00,246.00,3.00,720.00,300.00,38.00,3095.00
306.00,306.00,3.00,900.00,300.00,38.00,4000.00
306.00,306.00,3.00,900.00,300.00,38.00,4253.00
306.00,306.00,3.00,900.00,300.00,38.00,4495.00
306.00,306.00,3.00,900.00,300.00,38.00,4581.00
250.00,250.00,2.50,750.00,338.00,25.50,1993.00
250.00,250.00,2.50,750.00,338.00,25.50,2020.00
250.00,250.00,2.50,750.00,338.00,50.80,3190.00
250.00,250.00,2.50,750.00,338.00,51.20,3150.00
250.00,250.00,2.50,750.00,342.00,67.00,4080.00
250.00,250.00,2.50,750.00,342.00,67.00,4040.00
190.00,190.00,2.50,570.00,342.00,67.00,2480.00
190.00,190.00,2.50,570.00,342.00,67.00,2430.00
250.00,250.00,2.50,750.00,270.00,58.30,3495.00
190.00,190.00,2.50,570.00,270.00,58.30,2140.00
249.00,250.40,2.50,750.00,234.30,50.10,3409.00
128.20,129.10,2.50,390.00,234.30,54.80,1150.00
120.00,120.00,8.00,3000.00,379.00,80.00,1610.00
120.00,120.00,5.00,500.00,304.00,47.00,1440.00
120.00,120.00,5.00,500.00,438.00,46.00,1690.00
120.00,120.00,5.00,500.00,327.00,96.00,2040.00
120.00,120.00,5.00,500.00,439.00,96.00,2240.00
120.00,120.00,8.00,500.00,323.00,39.00,1550.00
120.00,120.00,8.00,500.00,300.00,46.00,1670.00
120.00,120.00,8.00,500.00,376.00,47.00,1990.00
120.00,120.00,8.00,500.00,323.00,103.00,2270.00
120.00,120.00,8.00,500.00,379.00,103.00,2680.00
120.00,120.00,8.00,500.00,379.00,39.00,1800.00
120.00,120.00,8.00,500.00,390.00,80.00,2300.00
120.00,120.00,8.00,500.00,379.00,80.00,2290.00
120.00,120.00,8.00,500.00,404.00,92.00,1380.00
150.30,149.90,1.98,399.50,413.00,56.00,2046.00
150.10,149.80,2.00,400.10,413.00,56.00,2200.00
150.20,150.20,2.98,401.00,392.00,56.00,2360.00
150.40,150.00,3.00,400.60,392.00,56.00,2300.00
200.30,100.50,1.98,400.00,413.00,56.00,1980.00
200.50,100.50,2.97,402.00,392.00,56.00,2160.00
300.00,300.00,6.00,1050.00,414.00,10.00,3428.00
400.00,400.00,6.00,1400.00,414.00,10.00,4452.00
300.00,300.00,6.00,1050.00,369.00,40.00,6298.00
400.00,400.00,6.00,1400.00,369.00,40.00,8802.00
60.00,60.00,1.87,180.00,282.00,81.00,382.00
60.00,60.00,1.87,180.00,282.00,81.00,350.00
100.00,100.00,1.87,300.00,282.00,81.00,860.00
100.00,100.00,1.87,300.00,282.00,81.00,840.00
150.00,150.00,1.87,450.00,282.00,81.00,1662.00
